innings,ball,runs_off_bat,extras
1.053098243484515,-0.3401534088529934,-0.7092181709943443,2.8697401586235034
1.053098243484515,-0.3225601569250355,-0.021799935655479472,-0.21504735533160058
1.053098243484515,-0.2521871492132042,-0.021799935655479472,-0.21504735533160058
1.053098243484515,-0.23459389728524643,-0.7092181709943443,-0.21504735533160058
1.053098243484515,-0.21700064535728833,2.040454770361115,-0.21504735533160058
1.053098243484515,-0.19940739342933056,-0.7092181709943443,-0.21504735533160058
1.053098243484515,-0.1818141415013728,-0.7092181709943443,-0.21504735533160058
1.053098243484515,-0.16422088957341502,-0.021799935655479472,-0.21504735533160058
1.053098243484515,-0.07625462993362582,-0.021799935655479472,-0.21504735533160058
1.053098243484515,-0.058661378005668036,-0.7092181709943443,-0.21504735533160058
1.053098243484515,-0.04106812607770995,-0.7092181709943443,-0.21504735533160058
1.053098243484515,-0.023474874149752172,-0.7092181709943443,-0.21504735533160058
1.053098243484515,-0.0058816222217943975,-0.7092181709943443,-0.21504735533160058
1.053098243484515,0.011711629706163379,-0.021799935655479472,-0.21504735533160058
1.053098243484515,0.09967788934595258,-0.021799935655479472,-0.21504735533160058
1.053098243484515,0.11727114127391035,-0.7092181709943443,-0.21504735533160058
1.053098243484515,0.13486439320186844,-0.021799935655479472,-0.21504735533160058
1.053098243484515,0.1524576451298262,-0.7092181709943443,-0.21504735533160058
1.053098243484515,0.17005089705778398,-0.021799935655479472,-0.21504735533160058
1.053098243484515,0.18764414898574178,-0.7092181709943443,-0.21504735533160058
1.053098243484515,0.27561040862553093,-0.021799935655479472,-0.21504735533160058
1.053098243484515,0.29320366055348873,-0.7092181709943443,-0.21504735533160058
1.053098243484515,0.3107969124814468,-0.021799935655479472,-0.21504735533160058
1.053098243484515,0.3283901644094046,2.040454770361115,-0.21504735533160058
1.053098243484515,0.3459834163373624,0.6656182996833853,-0.21504735533160058
1.053098243484515,0.36357666826532015,-0.021799935655479472,-0.21504735533160058
1.053098243484515,0.45154292790510936,-0.021799935655479472,-0.21504735533160058
1.053098243484515,0.4691361798330671,-0.7092181709943443,-0.21504735533160058
1.053098243484515,0.48672943176102523,-0.7092181709943443,-0.21504735533160058
1.053098243484515,0.504322683688983,-0.021799935655479472,-0.21504735533160058
1.053098243484515,0.5219159356169407,-0.021799935655479472,-0.21504735533160058
1.053098243484515,0.5395091875448985,0.6656182996833853,-0.21504735533160058
1.053098243484515,0.6274754471846877,-0.7092181709943443,-0.21504735533160058
1.053098243484515,0.6450686991126455,-0.7092181709943443,2.8697401586235034
1.053098243484515,0.6626619510406035,-0.021799935655479472,-0.21504735533160058
1.053098243484515,0.6802552029685613,-0.021799935655479472,-0.21504735533160058
1.053098243484515,0.6978484548965191,2.040454770361115,-0.21504735533160058
1.053098243484515,0.7154417068244769,1.3530365350222502,-0.21504735533160058
1.053098243484515,0.8034079664642662,0.6656182996833853,-0.21504735533160058
1.053098243484515,0.8210012183922238,2.040454770361115,-0.21504735533160058
1.053098243484515,0.838594470320182,-0.021799935655479472,-0.21504735533160058
1.053098243484515,0.8561877222481398,-0.7092181709943443,-0.21504735533160058
1.053098243484515,0.8737809741760976,-0.021799935655479472,-0.21504735533160058
1.053098243484515,0.8913742261040554,0.6656182996833853,-0.21504735533160058
1.053098243484515,0.9793404857438445,-0.021799935655479472,-0.21504735533160058
1.053098243484515,0.9969337376718023,-0.021799935655479472,-0.21504735533160058
1.053098243484515,1.0145269895997604,0.6656182996833853,-0.21504735533160058
1.053098243484515,1.0321202415277182,-0.7092181709943443,-0.21504735533160058
1.053098243484515,1.049713493455676,2.040454770361115,-0.21504735533160058
1.053098243484515,1.0673067453836338,-0.021799935655479472,-0.21504735533160058
1.053098243484515,1.1552730050234232,-0.021799935655479472,-0.21504735533160058
1.053098243484515,1.1728662569513806,-0.021799935655479472,-0.21504735533160058
1.053098243484515,1.1904595088793388,-0.7092181709943443,-0.21504735533160058
1.053098243484515,1.2080527608072962,-0.021799935655479472,-0.21504735533160058
1.053098243484515,1.2256460127352544,-0.7092181709943443,-0.21504735533160058
1.053098243484515,1.2432392646632124,-0.7092181709943443,-0.21504735533160058
