balls_faced,total_runs,total_extras_seen,avg_runs_per_ball,boundary_rate,dot_ball_rate
18,27,1,1.5,0.3333333333333333,0.5
14,7,1,0.5,0.0,0.5
17,17,2,1.0,0.17647058823529413,0.5294117647058824
39,44,3,1.1282051282051282,0.1282051282051282,0.3076923076923077
4,6,0,1.5,0.25,0.25
17,18,3,1.0588235294117647,0.17647058823529413,0.5294117647058824
22,8,2,0.36363636363636365,0.0,0.6818181818181818
8,9,0,1.125,0.125,0.25
9,6,0,0.6666666666666666,0.1111111111111111,0.6666666666666666
62,91,2,1.467741935483871,0.22580645161290322,0.4032258064516129
4,0,0,0.0,0.0,1.0
1,2,0,2.0,0.0,0.0
5,8,0,1.6,0.4,0.6
3,1,0,0.3333333333333333,0.0,0.6666666666666666
4,4,1,1.0,0.0,0.5
