PC1,PC2,PC3
-0.07366681640732761,-1.1596388589738718,0.022647396049194145
-0.06830527064756844,-1.1704128460680931,0.03514020649608415
-0.06294372488780928,-1.1811868331623145,0.04763301694297416
0.4434026345928082,-1.2284889940536832,0.02396246473465308
-0.030774450329254105,-1.245830755727643,0.12258987962431427
0.45412572611232666,-1.2500369682421262,0.048948085628433335
0.4594872718720858,-1.2608109553363476,0.06144089607532334
0.9443874483136664,-1.2650171678508304,-0.012200897920557837
0.9497489940734256,-1.2757911549450518,0.00029191252633216716
0.017479461508578792,-1.3427966395756359,0.23502517364632486
0.5023796379501593,-1.3470028520901187,0.1613833796504434
1.9463570757553832,-1.338073515445125,-0.08452762323097984
0.5131027294696777,-1.3685508262785615,0.1863690005442234
0.518464275229437,-1.3793248133727831,0.19886181099111372
0.5238258209891963,-1.3900988004670047,0.21135462143800388
0.07109491910617075,-1.4505365105178503,0.35995327811522526
0.0764564648659298,-1.4613104976120712,0.3724460885621149
0.08181801062568908,-1.472084484706293,0.38493889900900524
0.5667181870672696,-1.4762906972207757,0.3112971050131238
1.0516183635088503,-1.4804969097352587,0.23765531101724274
1.0569799092686096,-1.4912708968294803,0.25014812146413307
0.6042490073855842,-1.551708606880326,0.39874677814135445
2.048226445190808,-1.542779270235332,0.15283577525993058
2.053587990950567,-1.5535532573295534,0.16532858570682074
0.14079501398304015,-1.5905983427427284,0.5223598139247955
0.6256951904246209,-1.5948045552572114,0.44871801992891436
0.6310567361843801,-1.605578542351433,0.4612108303758045
0.6578644649831761,-1.6594484778225402,0.5236748826102547
1.1427646414247568,-1.6636546903370228,0.45003308861437336
0.6685875565026944,-1.680996452010983,0.5486605035040347
0.6739491022624535,-1.6917704391052042,0.5611533139509246
-1.799425340343613,-2.641813048704649,1.2039415377179536
0.6846721937819721,-1.7133184132936472,0.5861389348447049
1.1695723702235528,-1.71752462580813,0.5124971408488236
-0.4046704581250271,1.8503380123581052,-0.5080864518499351
-0.8788475430470893,1.8329962506841455,-0.40945903696027397
-0.39394736660550866,1.8287900381696622,-0.48310083095615497
-0.8681244515275709,1.8114482764957025,-0.3844734160664938
-0.38322427508599033,1.8072420639812194,-0.45811521006237493
-0.8574013600080526,1.7899003023072597,-0.3594877951727138
